ID,tph (yr),tpherr,dph (pc),dpherr,dist (pc),disterr,color,color_err,G_mag,G_mag_err,Spectral Type,Teff
4270814637616488064,1294127.623256332,23081.66468954775,0.05125487492263056,0.0024998249767476336,19.085319932218944,0.006232271440674588,1.6937250000000006,0.0013182764085044273,7.659590777308319,0.011914762626017338,Unknown,
5544743925212648320,29226.77131661443,612.885535204753,0.11350784482888086,0.0023805108084614638,11.172382195181553,0.0019329665770403146,0.6834939999999996,0.0010661082504009524,14.105579079848344,0.008672697785083977,WD,
510911618569239040,-2766019.408478084,23752.364810539922,0.14659241551696753,0.02509162769086042,75.68964166234538,0.1845953320750966,0.7643829999999987,0.0003396186378843478,4.496136754196588,0.03254560201403012,G,5816.2515
5571232118090082816,-1158374.026467029,5890.035921589485,0.2583846404256837,0.006273705770334308,97.71352044512619,0.08196308671778596,1.4929330000000007,0.0033435524507852456,6.832106697861946,0.019087505296588043,K,4554.234
3372104035275483392,1720253.5668709073,135778.66486048172,0.49329578087826714,0.04802581685576433,83.48162851566944,0.24640487647618992,2.571865999999998,0.00803357009785356,10.699648437678912,0.035809337618645604,M,3461.4705
929788371508812288,-364781.2362328438,12304.756289190733,0.49370094506365136,0.017975636255057152,73.00479704565446,0.3121014295740886,3.1969469999999998,0.012440951829283356,11.517214010219003,0.04309880981411819,Unknown,
4116451378388951424,311653.1004524262,10604.175563224024,0.5368760211228741,0.040129043745916186,84.27826228787046,2.352930982725501,1.9030430000000003,0.0038093246114353587,11.179706137897357,0.11011501476420607,Unknown,
1952802469918554368,82570.66092612487,171.37846002922385,0.5689473925660271,0.0012015151859697377,7.047484256325446,0.0010535068852630895,2.8141879999999997,0.0011187685116159003,11.590687428220871,0.008065110991308699,Unknown,
3054509410098672000,-556658.1479152823,2833.1782473258604,0.5978077187709925,0.0038058546271241777,40.05966164183183,0.03751982360047493,2.5550190000000015,0.001588777801230394,9.386233616164025,0.020175396244132632,Unknown,
3600338081985998080,1014985.7226211132,52183.75192721942,0.606017085591391,0.03813446637028946,38.596493345342616,0.12617663889710548,2.8053950000000007,0.0032825873183298113,11.255090755131826,0.03769714077334964,Unknown,
